zer1	zer2	zer3	zer4	zer5	zer6	zer7	zer8	zer9	zer10	zer11	zer12	zer13	zer14	zer15	zer16	zer17	zer18	zer19	zer20	zer21	zer22	zer23	zer24	zer25	zer26	zer27	zer28	zer29	zer30	zer31	zer32	zer33	zer34	zer35	zer36	zer37	zer38	zer39	zer40	zer41	zer42	zer43	zer44	zer45	zer46	zer47
0.01103274	0.83146581	15.35180368	75.80655877	171.5542136	490.1565557	206.416027	0.12213538	2.60164564	11.47270868	20.04341544	110.8683012	99.02527669	0.10059235	4.46582496	37.20367268	71.6826982	303.8330075	444.8187345	0.32429193	2.80821177	7.50553854	14.19932496	109.8205315	0.62308322	11.90259677	13.99288335	6.97255874	484.784871	0.3447455	6.83661628	41.17286195	67.58321804	1.87559911	2.28040282	170.2657636	158.8184103	1.71352943	33.81034044	9.85891522	1.39989143	148.138058	326.2394522	9.71107016	20.00724798	47.03257765	539.2084575
0.03827074	1.16674551	10.52691347	42.36927635	85.1871158	420.360566	253.5695745	0.03365653	0.39056561	11.7008302	65.59601314	97.69104981	87.94641666	0.13695732	3.00524125	22.83722867	40.65687341	186.4116835	419.5430635	0.05492862	3.57632343	38.54688921	100.0347854	85.14561144	0.41420485	8.00674523	53.19139913	91.36731276	371.9944065	0.53126852	14.37651619	74.16904414	82.06344893	1.34874103	29.15873615	211.2002978	34.5972574	2.59020781	35.40053066	70.68189876	6.67441215	155.1359853	377.8326748	8.14063313	44.53671071	46.33895405	518.4965669
0.04269842	1.22500747	8.27380379	31.74478635	54.4481768	404.1032042	389.9807461	0.04173333	0.93739883	11.62904494	33.48150105	51.70588614	17.76037702	0.13811174	2.37639229	20.89210472	68.66667457	168.4207306	518.2299606	0.11311887	3.38060376	21.11927205	52.67556251	11.77417171	0.32819563	7.78121593	71.36995521	94.03994194	402.4828189	0.48256542	8.10180575	40.0129727	14.86945484	1.3365173	35.77289669	207.1470933	10.92466223	1.47628474	19.47723043	30.09358959	7.85821052	150.1264187	419.5657471	4.53092112	26.29216958	44.57482214	549.9126914
0.03241821	1.63824727	19.20528336	51.19668169	57.18175997	429.0520111	256.1746448	0.07362391	1.97326817	13.05710783	36.07944266	49.97873054	55.03717364	0.19032914	5.21241499	25.12827213	51.9370885	178.9238645	386.3242177	0.24513679	3.96307213	20.03687734	27.5706344	80.05454653	0.69283865	8.22611998	61.25743942	112.6885996	324.8497536	0.58362525	7.45304511	23.66720419	65.14869114	1.32625124	31.81299984	239.6729979	21.0547491	1.34961311	14.17951811	30.56408508	7.09772779	173.8407585	441.3503763	3.70602306	13.43231115	51.73992968	574.8878136
0.0158665	0.6115615	8.62783913	37.32505249	48.50902532	459.9096342	238.5727668	0.04647664	1.11729174	10.01216908	27.16926614	67.84986242	71.512437	0.07684345	2.66071754	24.90142809	61.7503697	216.6151769	417.6588579	0.14495158	3.05574964	12.7753887	47.31222963	66.37701475	0.3847033	9.69548559	75.96331954	86.05021258	399.9752175	0.45241861	4.05596325	23.94669469	50.19202941	1.72148592	40.00379441	222.2276382	83.42188581	0.66797059	8.70540306	30.24247306	9.01571366	167.021185	332.4799972	1.80627253	23.68930014	50.40776975	492.2275128
0.22978044	5.0420768	40.44284704	142.7183776	120.5866001	238.7134739	193.3630337	0.03155833	0.75416663	6.68935995	20.08792553	27.27373803	58.45536526	0.65234575	13.04622522	93.32424451	226.6638462	58.28889614	194.7045829	0.08758947	1.84276439	12.40728995	12.56867299	41.94201891	1.9617692	35.8531468	197.3789226	192.0699876	129.513851	0.25224178	4.59290554	18.29813322	90.17250784	6.38236412	96.3493774	309.835456	120.7516227	0.80841788	10.57078165	97.58119482	21.33530528	222.9572445	451.4326066	2.59280932	64.44868144	67.43199692	555.304332
0.06838329	0.92908455	29.99590726	120.2859123	149.9067703	556.8216364	66.87300624	0.04904372	2.23291815	14.96306638	3.81809371	15.19358757	82.26174817	0.11318542	8.69698314	64.39432032	60.33579139	357.5371467	322.5562521	0.29232092	4.46991197	5.92765206	42.14280889	29.30505087	1.20889172	21.7964231	17.18843674	27.75701026	448.4007964	0.65171205	3.48448873	47.04068204	5.60316768	3.56391332	7.81936123	194.8912128	197.2378178	0.78781176	27.68934778	6.63712807	2.11043976	172.7137368	273.1867417	7.14426188	10.64254892	55.28310728	511.1945356
0.02940813	0.60821322	3.95445266	15.00777539	107.2237912	471.3357133	247.3804545	0.04469945	1.3186038	5.49053299	22.6143699	17.75729003	21.51216171	0.07061687	0.91435036	2.70257088	27.18589244	240.2976488	508.8269054	0.15648275	1.73635535	19.95500521	30.84654691	24.55058123	0.10685209	1.76254978	49.84642617	70.58100425	532.0678458	0.27377401	8.93869874	43.9060645	12.38674627	0.43166506	29.77667876	227.0716482	186.3916245	1.77526083	26.60441482	11.40940057	7.0624441	175.4989786	301.0780229	6.83916698	15.51580534	53.55112291	512.6035873
0.04945866	2.79979954	39.06342408	120.8505832	191.2395605	563.0615733	70.50745538	0.05509612	0.53938082	4.84698613	31.66964051	50.31474189	9.3889652	0.34853036	11.72814971	66.930982	79.49705569	408.6651757	333.3996438	0.0660074	1.9399364	21.32555141	48.16941515	24.31490667	1.67248793	23.23477777	23.72474184	59.64469529	494.5589173	0.33590741	8.66156409	31.34682354	16.98669275	3.87112744	12.67258068	179.9316341	260.5831707	1.6458017	13.37263464	11.60986053	3.5442092	176.3332749	234.9565631	2.8519158	15.30469823	58.37469209	509.2915747
0.02901479	1.4146897	27.85415957	107.5545226	151.1371231	466.4191641	115.8311677	0.06031082	1.25953606	0.83579169	14.83610024	43.19084366	46.99197086	0.16402411	7.61569741	52.95859946	50.38387782	217.4530761	322.2656376	0.15655455	0.31524652	10.21791971	28.78850609	12.8913011	1.01515379	16.94578035	9.99851133	92.75718428	361.4415934	0.05485916	4.23760496	16.29361656	28.16973443	2.66597266	8.47113752	226.8188623	82.95699404	0.81167646	8.17032876	31.41856954	2.45840646	169.0229166	328.0878898	2.11994353	19.08945476	50.80404735	496.2254843
